unixtime	low	high	open	close	volume	intervallStart_datetime	EMA_12	EMA_26	MACD	Signal_Line	Histogram	Histogram_Delta_Percentage	Histogram_Extrems	MFI
1512752400	13150.0	13478.99	13478.99	13285.0	23.76673442000011	2017-12-08 18:00:00								
1512753300	13250.0	13369.13	13285.0	13337.99	21.925828830000032	2017-12-08 18:15:00								
1512754200	13250.0	13369.12	13337.99	13295.7	19.859693460000006	2017-12-08 18:30:00								
1512755100	13197.23	13300.0	13295.69	13198.85	21.013139410000022	2017-12-08 18:45:00								
1512756000	13167.7	13299.99	13198.85	13169.53	21.153042180000035	2017-12-08 19:00:00								
1512756900	13100.0	13248.99	13169.07	13100.1	22.681145700000034	2017-12-08 19:15:00								
1512757800	13100.51	13235.0	13100.51	13235.0	27.73932708000016	2017-12-08 19:30:00								
1512758700	13234.99	13381.84	13235.0	13370.0	18.283321409999992	2017-12-08 19:45:00								
1512759600	13349.99	13649.0	13398.99	13647.82	30.907257980000075	2017-12-08 20:00:00								
1512760500	13370.0	13644.38	13644.38	13445.38	31.121492550000173	2017-12-08 20:15:00								
1512761400	13380.18	13491.73	13415.85	13389.99	26.464379930000053	2017-12-08 20:30:00								
1512762300	13271.19	13390.0	13390.0	13300.91	21.69231837000001	2017-12-08 20:45:00	13314.6891667							
1512763200	13271.18	13380.0	13300.91	13339.0	22.94910339000001	2017-12-08 21:00:00	13318.4292949							
1512764100	13266.92	13339.95	13339.0	13307.96	19.301286480000023	2017-12-08 21:15:00	13316.8186341							
1512765000	13234.23	13323.38	13299.0	13234.23	28.831408990000124	2017-12-08 21:30:00	13304.1126904							34.51846862075112
1512765900	13100.05	13250.0	13241.7	13200.0	31.25508317000013	2017-12-08 21:45:00	13288.0953534							26.897993235971796
1512766800	13200.0	13380.0	13200.0	13309.05	20.633370529999983	2017-12-08 22:00:00	13291.3191452							35.20906675037017
1512767700	13290.02	13493.0	13309.05	13493.0	21.590295720000057	2017-12-08 22:15:00	13322.346969							41.12208242689128
1512768600	13402.62	13499.99	13493.0	13493.0	20.096401579999988	2017-12-08 22:30:00	13348.6012815							47.3294653956853
1512769500	13493.0	13675.61	13493.0	13648.0	36.18452203000003	2017-12-08 22:45:00	13394.6626228							53.32639616259314
1512770400	13647.99	13798.0	13648.0	13748.96	34.32509378000009	2017-12-08 23:00:00	13449.1699116							55.222655216829544
1512771300	13654.66	13748.88	13748.0	13685.1	19.835092700000025	2017-12-08 23:15:00	13485.4668483							46.5351166779622
1512772200	13603.87	13687.43	13685.11	13640.15	18.273189839999983	2017-12-08 23:30:00	13509.2642562							41.30666436403328
1512773100	13639.99	13734.63	13640.14	13705.52	15.256980499999953	2017-12-08 23:45:00	13539.4574476							48.04245252105729
1512774000	13642.06	13738.0	13705.52	13652.36	11.784122439999956	2017-12-09 00:00:00	13556.827071							50.27826830455728
1512774900	13651.35	13697.0	13674.45	13694.03	10.266710049999975	2017-12-09 00:15:00	13577.9352139	13420.255	157.680213946					56.24533904417955
1512775800	13694.03	13700.0	13694.04	13700.0	20.054333840000037	2017-12-09 00:30:00	13596.7144118	13440.9768519	155.737559949					54.693558805423585
1512776700	13699.99	13740.0	13700.0	13701.15	23.781118829999976	2017-12-09 00:45:00	13612.7814254	13460.2489369	152.53248847					61.71415444278192
1512777600	13699.99	13776.3	13701.14	13771.01	12.561372409999981	2017-12-09 01:00:00	13637.124283	13483.2682749	153.856008098					68.42006516737013
1512778500	13769.96	13776.31	13771.01	13776.31	13.667161179999963	2017-12-09 01:15:00	13658.5374702	13504.9750694	153.562400876					76.29419157268428
1512779400	13691.99	13776.31	13776.31	13697.57	15.218465349999981	2017-12-09 01:30:00	13664.5424748	13519.2413605	145.301114297					69.93027932687579
1512780300	13650.02	13697.56	13697.56	13650.02	12.948397049999983	2017-12-09 01:45:00	13662.3082479	13528.9286671	133.379580774					63.79734942907565
1512781200	13611.9	13650.02	13650.02	13613.42	5.981080859999985	2017-12-09 02:00:00	13654.786979	13535.1872844	119.599694615					57.76899665844066
1512782100	13523.68	13613.42	13613.42	13523.68	10.317698029999981	2017-12-09 02:15:00	13634.6166745	13534.334893	100.281781589	141.325649179	-41.0438675906			53.05685127505202
1512783000	13365.04	13523.68	13523.68	13498.94	9.600934039999984	2017-12-09 02:30:00	13613.74334	13531.713049	82.0302909659	129.466577537	-47.4362865707	-0.155746018963		43.11794755092167
1512783900	13345.67	13499.11	13498.94	13345.67	7.323249299999978	2017-12-09 02:45:00	13572.5012877	13517.9320824	54.5692052533	114.48710308	-59.9178978267	-0.263123700405		48.52151621397113
1512784800	13302.96	13448.92	13345.36	13415.0	15.490743229999973	2017-12-09 03:00:00	13548.2703204	13510.3074837	37.9628366151	99.182249787	-61.2194131718	-0.021721645658		51.81604569159503
1512785700	13415.0	13485.7	13415.0	13481.11	13.612800109999998	2017-12-09 03:15:00	13537.9379634	13508.1447072	29.7932562107	85.3044510717	-55.511194861	0.0932419638657	Minimum	51.012839114058025
1512786600	13481.11	13499.94	13481.11	13499.94	11.35762247	2017-12-09 03:30:00	13532.0921229	13507.5369511	24.5551717775	73.1545952129	-48.5994234354	0.124511307007		58.9025235011735
1512787500	13499.93	13581.88	13499.93	13580.99	9.091069689999992	2017-12-09 03:45:00	13539.6148732	13512.9779177	26.6369555204	63.8510672744	-37.214111754	0.234268451693		58.77129162964728
1512788400	13580.98	13722.99	13580.98	13707.5	10.389145199999998	2017-12-09 04:00:00	13565.4433542	13527.3869608	38.0563934327	58.6921325061	-20.6357390733	0.445486185193		58.48285403372797
1512789300	13707.5	13721.32	13707.5	13721.09	8.155097459999991	2017-12-09 04:15:00	13589.388992	13541.7353341	47.6536579688	56.4844375986	-8.83077962983	0.572063806465		56.11941585448005
1512790200	13717.47	13721.37	13721.09	13717.48	17.912922990000038	2017-12-09 04:30:00	13609.095301	13554.7534575	54.3418434831	56.0559187755	-1.71407529239	0.805897625777		51.67697837913791
1512791100	13717.45	13717.48	13717.48	13717.45	8.341762779999991	2017-12-09 04:45:00	13625.7652547	13566.8050532	58.960201439	56.6367753082	2.32342613079	2.35549829177		42.06508337186934
1512792000	13717.45	13750.0	13717.45	13749.9	6.249162179999996	2017-12-09 05:00:00	13644.8629078	13580.3676419	64.495265918	58.2084734302	6.28679248779	1.70582843348		48.94159163068351
1512792900	13749.9	13776.0	13749.91	13775.04	9.32748653999999	2017-12-09 05:15:00	13664.8901527	13594.7878165	70.1023361973	60.5872459836	9.51509021369	0.513504737457		56.27046074493554
1512793800	13775.05	13777.93	13775.05	13776.93	33.05929009	2017-12-09 05:30:00	13682.1270523	13608.2798301	73.8472221859	63.2392412241	10.6079809619	0.114858684852		64.28041415333756
1512794700	13549.95	13777.29	13776.93	13660.9	42.263371140000025	2017-12-09 05:45:00	13678.861352	13612.1776205	66.6837314684	63.9281392729	2.75559219546	-0.740234055343	Maximum	53.91075687690451
1512795600	13368.65	13670.83	13653.96	13516.76	13.466402329999983	2017-12-09 06:00:00	13653.9226824	13605.1096486	48.8130338239	60.9051181831	-12.0920843592	-5.38819807194		45.34997084045368
1512796500	13516.75	13599.59	13516.75	13592.71	10.747426050000007	2017-12-09 06:15:00	13644.5053467	13604.1911561	40.3141905547	56.7869326574	-16.4727421028	-0.362274824874		50.97956210061003
1512797400	13200.0	13599.64	13592.73	13200.0	36.34093775000007	2017-12-09 06:30:00	13576.1199087	13574.2510705	1.86883824334	45.8033137746	-43.9344755313	-1.66710152184		50.12762869420184
1512798300	13200.0	13393.54	13200.0	13304.42	11.721240559999984	2017-12-09 06:45:00	13534.3199228	13554.2635838	-19.9436610119	32.6539188173	-52.5975798292	-0.197182376554		39.074695665568576
1512799200	13248.7	13550.0	13300.98	13550.0	11.603599859999955	2017-12-09 07:00:00	13536.7322423	13553.9477628	-17.2155204168	22.6800309705	-39.8955513873	0.241494541823	Minimum	38.53817629654552
