;unixtime;low;high;open;close;volume;datetime;typical_price;macd;macd_delta_absolute;macd_delta_percentage;mfi;mfi_delta_absolute;mfi_delta_percentage;trend_1_intervall;trend_2_intervall;trend_3_intervall
0;1514389500;13402,02;13468;13423,98;13468;27,00894578;27.12.2017 15:45;13446,00667;;;;;;;UP;UP;UP
1;1514388600;13415;13590;13587,73;13423,99;27,94662548;27.12.2017 15:30;13476,33;;;;;;;UP;UP;UP
2;1514387700;13450;13605,16;13474,38;13587,73;33,45911089;27.12.2017 15:15;13547,63;;;;;;;DOWN;UP;UP
3;1514386800;13450;13690,25;13602,5;13474,39;28,71439361;27.12.2017 15:00;13538,21333;;;;;;;UP;UP;UP
4;1514385900;13555,58;13715,32;13715,32;13602,51;38,99523011;27.12.2017 14:45;13624,47;;;;;;;UP;UP;UP
5;1514385000;13715,02;13864,99;13864,98;13715,32;18,91363694;27.12.2017 14:30;13765,11;;;;;;;UP;UP;UP
6;1514384100;13852;13875,01;13852,18;13864,99;14,12611938;27.12.2017 14:15;13864;;;;;;;DOWN;UP;DOWN
7;1514383200;13848,89;13879,99;13879,99;13853,63;16,21841731;27.12.2017 14:00;13860,83667;;;;;;;UP;DOWN;DOWN
8;1514382300;13859,99;13889;13860;13879,99;16,65122607;27.12.2017 13:45;13876,32667;;;;;;;DOWN;DOWN;DOWN
9;1514381400;13821,6;13880;13855,84;13860;10,56589961;27.12.2017 13:30;13853,86667;;;;;;;DOWN;DOWN;UP
10;1514380500;13805,5;13873,4;13821;13855,84;20,00872915;27.12.2017 13:15;13844,91333;;;;;;;UP;UP;UP
11;1514379600;13821;13903;13899,99;13821,01;16,83504242;27.12.2017 13:00;13848,33667;;;;;;;UP;UP;UP
12;1514378700;13849,99;13900;13850,01;13900;11,40276319;27.12.2017 12:45;13883,33;;;;;;;DOWN;UP;DOWN
13;1514377800;13850;13911;13898,99;13850,01;15,02195208;27.12.2017 12:30;13870,33667;;;;;;;UP;DOWN;DOWN
14;1514376900;13862,17;13900;13893,37;13899;17,70709813;27.12.2017 12:15;13887,05667;;;;70,73181032;;;DOWN;DOWN;DOWN
15;1514376000;13739,99;13900;13740;13893,37;22,17195461;27.12.2017 12:00;13844,45333;;;;63,60350959;-7,128300729;-0,112074016;DOWN;DOWN;DOWN
16;1514375100;13684,77;13740;13684,78;13740;22,52517923;27.12.2017 11:45;13721,59;;;;54,99758589;-8,605923698;-0,156478208;DOWN;DOWN;DOWN
17;1514374200;13660,01;13684,78;13675,51;13684,78;20,39533021;27.12.2017 11:30;13676,52333;;;;57,13122685;2,133640966;0,037346318;UP;UP;DOWN
18;1514373300;13655,01;13735;13735;13677;15,82993625;27.12.2017 11:15;13689,00333;;;;55,82636671;-1,304860142;-0,023373546;UP;DOWN;UP
19;1514372400;13669,89;13748,15;13669,89;13735;22,27575505;27.12.2017 11:00;13717,68;;;;51,60606335;-4,22030336;-0,081779215;DOWN;DOWN;DOWN
20;1514371500;13620,8;13730;13726,26;13669,9;18,27775372;27.12.2017 10:45;13673,56667;;;;43,10750067;-8,498562687;-0,197148119;UP;UP;UP
21;1514370600;13635,58;13749,06;13643,46;13726,31;28,24643688;27.12.2017 10:30;13703,65;;;;49,78798567;6,680485001;0,134178656;UP;UP;UP
22;1514369700;13643,46;13850;13849,2;13643,46;26,92191116;27.12.2017 10:15;13712,30667;;;;52,08044383;2,292458167;0,044017639;UP;UP;UP
23;1514368800;13809,99;13864,89;13810,99;13849,2;19,44414293;27.12.2017 10:00;13841,36;;;;60,13015815;8,049714315;0,133871497;DOWN;DOWN;UP
24;1514367900;13782;13869,4;13793,68;13810,99;20,13230867;27.12.2017 09:45;13820,79667;;;;58,19549125;-1,934666899;-0,033244275;UP;UP;UP
25;1514367000;13760,01;13928,78;13926,01;13793,69;25,49116112;27.12.2017 09:30;13827,49333;-0,926177173;;;58,20891411;0,013422864;0,000230598;UP;UP;UP
26;1514366100;13925,99;13981;13969,99;13926;21,92416174;27.12.2017 09:15;13944,33;7,701754624;8,627931797;1,120255347;59,47609528;1,267181168;0,021305722;UP;DOWN;UP
27;1514365200;13920;13969,99;13920,78;13969,5;15,68265437;27.12.2017 09:00;13953,16333;17,23902203;9,537267403;0,553237149;64,81607807;5,339982785;0,0823867;DOWN;DOWN;DOWN
28;1514364300;13920;13963,6;13960,11;13920,78;13,73898694;27.12.2017 08:45;13934,79333;24,75830439;7,519282358;0,303707485;59,56065925;-5,255418816;-0,088236411;UP;DOWN;DOWN
29;1514363400;13915;13960,11;13955,91;13960,11;10,89443947;27.12.2017 08:30;13945,07333;33,72862323;8,970318842;0,265955678;65,10327677;5,542617517;0,085135769;DOWN;DOWN;DOWN
30;1514362500;13882;13966;13882,01;13955,91;19,85470536;27.12.2017 08:15;13934,63667;41,27842211;7,549798884;0,182899406;67,70181027;2,5985335;0,038382039;DOWN;DOWN;DOWN
31;1514361600;13880;13963;13948,8;13884,73;12,11572536;27.12.2017 08:00;13909,24333;39,9469013;-1,331520815;-0,033332268;68,27152477;0,569714506;0,008344833;UP;DOWN;DOWN
32;1514360700;13870;13949;13877,44;13948,8;10,0762706;27.12.2017 07:45;13922,6;47,60825904;7,661357744;0,160924972;67,33514781;-0,936376962;-0,013906214;DOWN;DOWN;UP
33;1514359800;13860;13948,71;13867,23;13890,91;6,67228535;27.12.2017 07:30;13899,87333;46,59697815;-1,011280894;-0,021702714;62,8263535;-4,508794311;-0,071765972;DOWN;UP;UP
34;1514358900;13850;13966,55;13949;13868,17;7,68058431;27.12.2017 07:15;13894,90667;45,69350651;-0,903471634;-0,019772429;66,69964279;3,873289286;0,058070615;UP;UP;UP
35;1514358000;13928,19;13965,16;13928,19;13948,99;18,03235637;27.12.2017 07:00;13947,44667;47,1724827;1,478976192;0,03135252;65,25850809;-1,441134695;-0,022083476;DOWN;DOWN;DOWN
36;1514357100;13902;13947,06;13919,99;13927,25;6,70504045;27.12.2017 06:45;13925,43667;46,67594627;-0,496536432;-0,010637951;55,8487992;-9,409708892;-0,168485429;DOWN;UP;DOWN
37;1514356200;13899,18;13950,78;13949,67;13919,99;6,86762074;27.12.2017 06:30;13923,31667;45,17607324;-1,499873031;-0,033200607;48,42415562;-7,424643579;-0,153325205;UP;DOWN;DOWN
38;1514355300;13919,99;13950;13919,99;13949,67;7,80691198;27.12.2017 06:15;13939,88667;44,0144879;-1,161585346;-0,026390977;55,01877661;6,594620987;0,11986128;DOWN;DOWN;DOWN
39;1514354400;13887,66;13920;13887,66;13919,99;6,63516006;27.12.2017 06:00;13909,21667;38,20078245;-5,813705446;-0,152188125;47,77579736;-7,242979249;-0,151603524;DOWN;DOWN;DOWN
40;1514353500;13837,86;13888;13837,87;13887,66;2,76374147;27.12.2017 05:45;13871,17333;31,7532914;-6,447491049;-0,203049535;37,83138287;-9,944414489;-0,262861512;DOWN;DOWN;DOWN
