unixtime;low;high;open;close;volume;intervallStart_datetime;typical_price;macd;macd_delta_absolute;macd_delta_percentage;mfi;mfi_delta_absolute;mfi_delta_percentage;trend_1_intervall;trend_2_intervall;trend_3_intervall;Signal;
1514127600;12050;12299;12291,54;12231,03;14,8106078;24.12.2017 16:00;12193,34333;37,24425849;35,37084685;18,88044576;71,2407842;9,089779723;0,146253143;DOWN;DOWN;DOWN;0;
1514128500;12022,03;12233,62;12231,04;12091,71;16,26906954;24.12.2017 16:15;12115,78667;61,07149721;23,82723873;0,639756024;65,72195379;-5,518830408;-0,077467289;DOWN;DOWN;DOWN;0;
1514129400;11876,05;12150;12091,71;12042,61;18,38328374;24.12.2017 16:30;12022,88667;76,40427407;15,33277685;0,251062731;58,50338385;-7,218569938;-0,109834987;DOWN;DOWN;UP;0;
1514130300;11700;12085,02;12042,6;11819,98;23,68741479;24.12.2017 16:45;11868,33333;66,18763534;-10,21663873;-0,133718157;59,99897377;1,495589922;0,025564161;UP;UP;UP;0;
1514131200;11819,97;12100;11819,98;12100;18,20369245;24.12.2017 17:00;12006,65667;75,78087717;9,593241827;0,14494009;68,36130083;8,362327056;0,139374501;UP;UP;UP;0;
1514132100;11965,2;12130;12100;12057,79;10,43069199;24.12.2017 17:15;12050,99667;72,61724883;-3,16362834;-0,041747054;66,53628135;-1,825019482;-0,026696676;UP;DOWN;DOWN;0;
1514133000;12041,22;12130,11;12057,79;12076,36;13,76366264;24.12.2017 17:30;12082,56333;71,34815932;-1,269089506;-0,01747642;64,65296194;-1,883319414;-0,02830515;DOWN;DOWN;DOWN;0;
1514133900;11953,38;12076,9;12076,9;12003,15;12,01031086;24.12.2017 17:45;12011,14333;58,73533258;-12,61282674;-0,176778586;55,545832;-9,107129934;-0,140861759;UP;DOWN;DOWN;0;
1514134800;12003,15;12091,01;12003,15;12029,81;14,69409926;24.12.2017 18:00;12041,32333;54,13452739;-4,600805185;-0,078331134;64,51694884;8,971116838;0,161508371;DOWN;DOWN;DOWN;0;
1514135700;11966,5;12029,84;12029,81;11979,35;8,62932773;24.12.2017 18:15;11991,89667;46,4470446;-7,687482794;-0,142007018;56,64491895;-7,872029894;-0,122014913;DOWN;DOWN;DOWN;0;
1514136600;11923,34;11973,6;11954,54;11923,34;10,63936774;24.12.2017 18:30;11940,09333;34,09472281;-12,35232179;-0,265944193;50,72507043;-5,919848514;-0,104508023;DOWN;DOWN;DOWN;0;
1514137500;11869,11;11955,5;11923,35;11869,12;10,29062548;24.12.2017 18:45;11897,91;6,473249491;-27,62147332;-0,810139255;52,9643438;2,239273372;0,044145298;DOWN;DOWN;DOWN;0;
1514138400;11707;11900;11869,12;11800;19,78838485;24.12.2017 19:00;11802,33333;-24,80834622;-31,28159571;-4,832440917;46,21041834;-6,753925459;-0,127518345;UP;UP;DOWN;0;
1514139300;11664,03;11900;11800,01;11900;14,87081645;24.12.2017 19:15;11821,34333;-32,17182127;-7,363475053;-0,296814426;47,83662171;1,626203364;0,035191271;UP;DOWN;DOWN;0;
1514140200;11809,06;11933,12;11900;11849,51;11,0338381;24.12.2017 19:30;11863,89667;-40,69794834;-8,526127068;-0,265018477;47,65717631;-0,179445394;-0,003751214;DOWN;DOWN;DOWN;0;
1514141100;11704;11850;11849,51;11737,6;9,39013232;24.12.2017 19:45;11763,86667;-56,14801701;-15,45006867;-0,379627704;48,63395053;0,976774213;0,020495847;DOWN;DOWN;DOWN;0;
1514142000;11651;11738,3;11737,6;11685,86;11,81700556;24.12.2017 20:00;11691,72;-80,67025693;-24,52223992;-0,43674276;50,4366947;1,802744169;0,037067607;UP;UP;DOWN;0;
1514142900;11600;11748,52;11682,96;11748,03;16,81858723;24.12.2017 20:15;11698,85;-91,6419488;-10,97169187;-0,136006656;58,41785382;7,981159124;0,158241121;DOWN;DOWN;UP;0;
1514143800;11650;11750;11748,02;11678,82;14,50981942;24.12.2017 20:30;11692,94;-103,0204252;-11,3784764;-0,124162314;47,73559224;-10,68226158;-0,182859535;DOWN;UP;UP;0;
1514144700;11450;11722,71;11678,82;11597,88;9,36141486;24.12.2017 20:45;11590,19667;-114,510016;-11,48959081;-0,111527309;38,53329355;-9,202298686;-0,192776464;UP;UP;UP;0;
1514145600;11597,87;11846,57;11597,88;11803,61;12,56305331;24.12.2017 21:00;11749,35;-104,7866882;9,723327828;0,084912466;38,03087853;-0,502415025;-0,013038466;UP;UP;UP;1;
