Unnamed: 0	unixtime	low	high	open	close	volume	intervallStart_datetime	EMA_12	EMA_26	MACD	Signal_Line	Histogram	Histogram_Delta_Percentage	Histogram_Extrems	MFI
0	1512812400	13361.0	13370.0	13368.21	13361.46	11.309538549999981	2017-12-09 10:40:00								
1	1512812700	13360.0	13392.12	13361.36	13392.12	5.759739689999987	2017-12-09 10:45:00								
2	1512813000	13392.12	13420.0	13392.12	13419.99	7.4411281299999885	2017-12-09 10:50:00								
3	1512813300	13380.0	13428.0	13419.13	13383.56	6.600539249999987	2017-12-09 10:55:00								
4	1512813600	13379.01	13399.34	13383.55	13382.0	5.711166109999992	2017-12-09 11:00:00								
5	1512813900	13379.01	13399.0	13382.0	13379.01	5.913209229999987	2017-12-09 11:05:00								
6	1512814200	13369.77	13379.5	13379.02	13369.77	8.37276157999999	2017-12-09 11:10:00								
7	1512814500	13369.12	13375.0	13369.74	13375.0	4.750566519999991	2017-12-09 11:15:00								
8	1512814800	13374.65	13400.0	13374.77	13385.18	6.4259027799999915	2017-12-09 11:20:00								
9	1512815100	13360.0	13385.18	13385.17	13369.99	5.561437619999988	2017-12-09 11:25:00								
10	1512815400	13324.84	13384.63	13370.0	13325.43	4.961422039999991	2017-12-09 11:30:00								
11	1512815700	13305.0	13325.43	13325.43	13305.0	7.411632789999987	2017-12-09 11:35:00	13370.7091667							
12	1512816000	13265.57	13357.97	13304.98	13265.57	7.291874819999991	2017-12-09 11:40:00	13354.5339103							
13	1512816300	13263.16	13329.91	13271.79	13263.16	7.871744299999984	2017-12-09 11:45:00	13340.4763856							
14	1512816600	13285.42	13305.48	13294.62	13291.71	5.792553889999987	2017-12-09 11:50:00	13332.9738647							39.88700116157226
15	1512816900	13255.01	13295.34	13291.99	13256.81	6.3391076499999945	2017-12-09 11:55:00	13321.2563471							29.757669991051984
16	1512817200	13200.01	13256.61	13256.61	13200.02	6.237456239999991	2017-12-09 12:00:00	13302.6046014							23.199856060704306
17	1512817500	13105.13	13201.36	13201.36	13106.89	7.383122119999987	2017-12-09 12:05:00	13272.4946627							23.537911382041244
18	1512817800	13106.06	13250.0	13106.82	13209.99	8.898957749999985	2017-12-09 12:10:00	13262.8785608							31.46308735775588
19	1512818100	13202.66	13229.98	13209.99	13229.11	6.363097349999986	2017-12-09 12:15:00	13257.6833976							39.8941884529811
20	1512818400	13149.02	13229.11	13229.11	13150.0	9.029882959999977	2017-12-09 12:20:00	13241.116721							39.73479901331737
21	1512818700	13149.51	13287.54	13149.51	13287.54	9.575704969999984	2017-12-09 12:25:00	13248.2587639							40.072353784860816
22	1512819000	13285.85	13333.0	13287.54	13331.01	8.472386769999984	2017-12-09 12:30:00	13260.9897233							42.95641253885107
23	1512819300	13316.51	13331.5	13331.01	13326.04	4.816336959999991	2017-12-09 12:35:00	13270.9974582							50.50879807642614
24	1512819600	13294.66	13327.43	13326.04	13319.75	5.391026359999993	2017-12-09 12:40:00	13278.4978492							50.89541169941427
25	1512819900	13286.49	13319.75	13319.75	13286.5	6.882301489999988	2017-12-09 12:45:00	13279.7289494	13306.6388462	-26.9098967911					50.683507772908676
26	1512820200	13286.49	13320.0	13286.5	13320.0	4.0029128799999985	2017-12-09 12:50:00	13285.9244956	13307.6285613	-21.7040656389					57.83861698188046
27	1512820500	13319.99	13327.0	13320.0	13327.0	10.090979639999984	2017-12-09 12:55:00	13292.243804	13309.0634826	-16.8196786606					63.94591365650566
28	1512820800	13326.99	13333.0	13326.99	13332.99	4.653388479999993	2017-12-09 13:00:00	13298.5124495	13310.8358173	-12.3233677384					64.76460110158573
29	1512821100	13332.99	13339.88	13333.0	13339.87	4.488489489999994	2017-12-09 13:05:00	13304.8751496	13312.9864975	-8.11134786785					70.27864090899779
30	1512821400	13339.98	13350.0	13339.98	13350.0	5.269195339999986	2017-12-09 13:10:00	13311.8174343	13315.7282384	-3.91080411894					76.3028099428738
31	1512821700	13349.99	13350.5	13349.99	13350.5	5.919861769999995	2017-12-09 13:15:00	13317.7685982	13318.3039244	-0.535326206042					82.59602583580616
32	1512822000	13350.49	13391.88	13350.5	13391.81	4.838692599999991	2017-12-09 13:20:00	13329.1595831	13323.7488189	5.4107641953					82.34519197087202
33	1512822300	13361.13	13391.81	13391.8	13378.0	6.213011119999992	2017-12-09 13:25:00	13336.6734934	13327.7674249	8.90606847902	-8.44418381639	17.3502522954			76.14503914122088
34	1512822600	13348.49	13378.75	13377.98	13348.49	4.66549380999999	2017-12-09 13:30:00	13338.4914175	13329.3024305	9.18898700925	-4.91754965126	14.1065366605	-0.186954954872		76.20967085048332
35	1512822900	13216.74	13329.09	13329.09	13256.37	5.006152929999991	2017-12-09 13:35:00	13325.8573533	13323.9000282	1.95732503709	-3.54257471359	5.49989975069	-0.610116934933		69.53838373369521
36	1512823200	13230.0	13256.37	13256.37	13236.69	5.388162899999993	2017-12-09 13:40:00	13312.1392989	13317.4400261	-5.30072722071	-3.89420521502	-1.4065220057	-1.2557359351		61.65539102555881
37	1512823500	13202.1	13228.09	13226.12	13219.16	6.7555678499999905	2017-12-09 13:45:00	13297.8347914	13310.1600242	-12.3252328105	-5.58041073411	-6.74482207639	-3.79539036649		53.22052231710306
38	1512823800	13200.0	13232.98	13219.16	13201.01	6.06779959999999	2017-12-09 13:50:00	13282.9386696	13302.0748372	-19.1361675853	-8.29156210435	-10.8446054809	-0.607841594355		51.95928198255159
39	1512824100	13200.0	13201.01	13201.01	13200.0	5.810624429999992	2017-12-09 13:55:00	13270.1788743	13294.5137382	-24.3348638608	-11.5002224556	-12.8346414052	-0.183504686064		51.55116134826543
40	1512824400	13200.0	13266.48	13200.01	13249.68	4.810957499999991	2017-12-09 14:00:00	13267.0252013	13291.1927205	-24.1675191894	-14.0336818024	-10.133837387	0.210430812431	Minimum	50.869531377255626
41	1512824700	13249.68	13269.65	13249.68	13268.0	4.791376109999987	2017-12-09 14:05:00	13267.1751704	13289.4747412	-22.2995708664	-15.6868596152	-6.61271125119	0.347462269363		51.350761943997625
42	1512825000	13267.99	13289.67	13268.0	13286.14	3.833125919999995	2017-12-09 14:10:00	13270.0928365	13289.2277234	-19.1348868997	-16.3764650721	-2.7584218276	0.582860687119		47.87506934496478
43	1512825300	13289.65	13294.0	13289.65	13294.0	5.178025749999994	2017-12-09 14:15:00	13273.7708616	13289.5812253	-15.8103637133	-16.2632448003	0.452881087065	1.16418122947		47.28419192915762
44	1512825600	13241.42	13294.0	13294.0	13249.64	4.552784069999996	2017-12-09 14:20:00	13270.0584214	13286.6226161	-16.5641946787	-16.323434776	-0.240759902721	-1.53161836428	Maximum	40.81175546479229
45	1512825900	13249.64	13284.56	13249.64	13284.56	4.2945199999999915	2017-12-09 14:25:00	13272.2894335	13286.4698297	-14.180396208	-15.8948270624	1.71443085437	8.12091521469	Minimum	40.21118587324581
46	1512826200	13284.53	13287.0	13284.56	13287.0	5.838829979999986	2017-12-09 14:30:00	13274.5525976	13286.5091016	-11.9565040021	-15.1071624504	3.15065844822	0.837728503416		38.83683583596998
47	1512826500	13286.99	13288.96	13286.99	13288.96	3.4405371799999966	2017-12-09 14:35:00	13276.769121	13286.6906496	-9.92152858154	-14.0700356766	4.14850709506	0.316711145698		46.310263268985786
48	1512826800	13209.76	13289.62	13288.96	13246.0	4.821754309999992	2017-12-09 14:40:00	13272.0354101	13283.6765274	-11.6411173138	-13.584252004	1.94313469028	-0.531606275281	Maximum	48.16450869356629
49	1512827100	13240.0	13281.99	13245.99	13281.0	5.782251619999991	2017-12-09 14:45:00	13273.4145778	13283.4782661	-10.0636883454	-12.8801392723	2.81645092691	0.449436799727	Minimum	54.91331369111882
50	1512827400	13231.61	13281.0	13268.95	13252.77	3.5253428599999928	2017-12-09 14:50:00	13270.2384889	13281.2035797	-10.9650908534	-12.4971295885	1.53203873511	-0.456039258321	Maximum	54.31535287038262
51	1512827700	13224.54	13258.81	13252.78	13236.0	5.060306779999988	2017-12-09 14:55:00	13264.971029	13277.8551664	-12.8841373671	-12.5745311442	-0.309606222841	-1.20208772516		55.766863227213754
52	1512828000	13235.99	13239.75	13235.99	13237.71	5.567210999999993	2017-12-09 15:00:00	13260.7770246	13274.8814504	-14.1044258052	-12.8805100764	-1.22391572879	-2.95313672173		57.149639310256475
53	1512828300	13224.0	13237.71	13237.71	13224.01	3.7768776899999983	2017-12-09 15:05:00	13255.1205593	13271.1131948	-15.992635541	-13.5029351694	-2.48970037167	-1.03420898442		57.56373680388428
54	1512828600	13221.63	13225.0	13224.0	13223.62	3.136099359999996	2017-12-09 15:10:00	13250.2743194	13267.5951804	-17.3208609974	-14.266520335	-3.05434066243	-0.226790459277		50.481054108311874
55	1512828900	13150.15	13223.62	13223.62	13150.2	5.283066909999986	2017-12-09 15:15:00	13234.8782702	13258.8992411	-24.020970845	-16.217410437	-7.80356040803	-1.55490833227		44.25946625238655
56	1512829200	13150.14	13179.65	13153.59	13179.63	4.137488919999992	2017-12-09 15:20:00	13226.3785364	13253.0274454	-26.648909092	-18.303710168	-8.34519892406	-0.0694091527081		36.463262190686315
57	1512829500	13156.51	13219.04	13179.63	13190.0	5.174765269999988	2017-12-09 15:25:00	13220.7818385	13248.3587458	-27.5769073301	-20.1583496004	-7.41855772971	0.111038838352	Minimum	36.729993992109804
58	1512829800	13189.99	13225.0	13190.0	13222.27	5.958898819999987	2017-12-09 15:30:00	13221.0107864	13246.4262461	-25.4154597123	-21.2097716228	-4.20568808953	0.43308548066		44.76093210871803
59	1512830100	13220.88	13225.0	13222.27	13224.99	4.187489489999994	2017-12-09 15:35:00	13221.6229731	13244.838376	-23.215402921	-21.6108978824	-1.60450503859	0.618491670225		45.92517913362182
60	1512830400	13221.38	13225.0	13225.0	13224.29	3.3976715799999933	2017-12-09 15:40:00	13222.0332849	13243.3162741	-21.2829891624	-21.5453161384	0.262326976053	1.16349401824		39.45325421204412
61	1512830700	13201.0	13240.77	13224.44	13201.01	5.554263499999991	2017-12-09 15:45:00	13218.7989334	13240.182476	-21.3835426089	-21.5129614325	0.129418823648	-0.506650724241	Maximum	31.719608141347834
62	1512831000	13200.0	13201.01	13201.01	13200.0	3.7705219299999935	2017-12-09 15:50:00	13215.9067898	13237.2059963	-21.2992065045	-21.4702104469	0.171003942449	0.321322027424	Minimum	30.703795291447335
63	1512831300	13161.0	13200.01	13200.0	13162.0	3.9464937499999917	2017-12-09 15:55:00	13207.6134375	13231.6351818	-24.0217442403	-21.9805172056	-2.04122703469	-12.9367249986	Maximum	23.69899347694016
64	1512831600	13150.01	13162.07	13162.0	13150.01	3.659958009999996	2017-12-09 16:00:00	13198.7513702	13225.588872	-26.8375017912	-22.9519141227	-3.88558766851	-0.903554872871		24.40889498542738
65	1512831900	13116.99	13150.01	13150.0	13117.0	4.8154912999999935	2017-12-09 16:05:00	13186.1742363	13217.5452519	-31.3710155216	-24.6357344025	-6.73528111908	-0.733400889049		24.367141197613847
66	1512832200	13116.5	13117.0	13117.0	13116.6	4.124960349999993	2017-12-09 16:10:00	13175.4705077	13210.0678258	-34.5973181249	-26.628051147	-7.9692669779	-0.18321222782		24.479042816577632
67	1512832500	13070.0	13116.6	13116.6	13070.64	5.805044699999992	2017-12-09 16:15:00	13159.3427373	13199.7398387	-40.3971014394	-29.3818612054	-11.015240234	-0.382214984704		25.07596762710807
68	1512832800	13010.04	13070.64	13070.64	13021.0	4.505761699999992	2017-12-09 16:20:00	13138.0592392	13186.4998506	-48.4406114273	-33.1936112498	-15.2470001775	-0.384173186751		24.289900711730695
69	1512833100	12820.66	13021.0	13020.99	12838.94	9.02789955999998	2017-12-09 16:25:00	13092.0408947	13160.7546765	-68.7137818004	-40.2976453599	-28.4161364404	-0.863719820929		23.79481294979611
